acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-5.43,-13.61,13.15,-0.03,-0.27,-0.22,1
1.44,-5.68,9.36,0.34,0.49,0.81,1
-1.16,-5.05,7.62,-0.19,0.26,-0.15,1
-2.54,-6.56,8.86,0.33,-0.23,0.09,1
-2.08,-6.64,8.12,0.36,0.16,0.69,1
-0.92,-7.91,7.87,0.27,-0.03,1.01,1
0.49,-7.08,3.2,1.02,0.4,1.95,1
2.34,-5.07,0.28,-0.19,1.74,2.64,1
2.98,-2.85,0.72,-1.31,2.13,2.33,1
4.78,0.65,-0.83,-2.51,2.84,1.17,1
-12.19,-19.09,-8.57,-1.36,1.24,6.62,1
-12.5,-16.85,-12.69,0.13,-1.62,7.93,1
-12.19,-16.51,-16.77,0.15,-2.21,8.71,1
-6.14,-22.73,-16.32,-0.53,-3.85,8.71,1
6.53,-20.63,-7.38,-1.91,-2.24,8.71,1
22.92,-9.13,-1.53,0.74,0.09,8.71,1
22.39,4.51,-6.04,0.79,2.26,5.58,1
25.88,7.69,-10.08,0.27,0.32,0.09,1
24.34,0.35,-14.05,-3.37,-0.22,-5.92,1
24.84,-14.46,-15.26,-8.66,-1.43,-8.75,1
10.39,-59.32,-11.09,-8.76,-1.85,-8.75,1
6.28,-45.9,10.84,-8.76,-8.69,-8.75,1
-27.21,-35.68,22.94,-0.38,0.22,-5.32,1
8.01,-5.89,13.71,0.06,0.48,3.68,1
2.22,-5.19,11.94,-0.43,0.74,0.67,1
0.04,-6.24,11.85,-0.25,-0.34,-1.34,1
-2.59,-8.78,10.15,0.22,0.11,-0.53,1
-1.84,-4.94,4.02,0.37,0.95,0.85,1
-2.63,-6.84,3.18,-0.54,0.47,1.26,1
-0.71,-7.32,5.58,-0.28,1.18,2.01,1
-1.85,-6.77,4.94,-1.13,1.68,2.36,1
-0.92,-1.42,5.07,-1.72,2.2,1.24,1
-3.08,-2.47,4.3,-2.05,2.6,-0.59,1
-2.27,-4.14,3.42,-2.51,3.38,-1.57,1
-5.13,-7.04,-0.02,-1.99,4.05,-2.71,1
-2.75,-9.45,-0.19,-0.71,1.8,-4.42,1
-2.79,-15.46,-2.18,-1.42,3.61,-4.16,1
1.13,-19.46,-2.06,-1,3.89,-4.28,1
0.63,-23.62,-4.96,-0.64,5.75,-3.91,1
-9.2,-22.66,-7.59,1.7,2.26,-4.25,1
3.94,-10.9,0.48,-1.8,3.76,1.48,1
0.64,-12.47,-2.11,-3.53,6.33,2.81,1
-7.72,-17.33,-7,-4.22,6.37,3.59,1
-9.82,-19.86,-12.17,-3.79,4.65,5.98,1
-12.92,-17.71,-23.78,-2.02,0.12,8.21,1
-11.75,-21.57,-24.09,-4.35,-2.84,8.71,1
-4.44,-26.63,-23.91,-4.62,-4.7,8.71,1
4.37,-33.48,-12.33,-5.82,-5.06,8.71,1
22.13,-22.02,2.39,-1.4,-3.46,8.71,1
28.72,3.25,-2.5,0.78,-0.04,7.16,1
30.06,7.66,-11.18,0.67,0.07,-0.03,1
25.22,1.23,-16.84,-3.15,-0.17,-6.77,1
21.92,-25.07,-19.24,-8.76,-0.46,-8.75,1
11.28,-59.44,-8.24,-8.76,-2.39,-8.75,1
22.45,-51.28,32.87,-7.52,-8.69,-8.75,1
-23.25,-28.36,17.75,3,-0.29,-1.56,1
13.21,-0.24,10.54,-1.48,1.2,3.39,1
4.55,-5.36,13.28,-1.06,-0.01,-1.55,1
-6.47,-11.34,12.54,-0.23,-0.31,-1.47,1
-1,-7.06,9.43,0.58,0.05,1.14,1
-0.96,-6.61,6.14,0.58,0.25,1.28,1
-0.99,-5.55,3.89,0.59,0.19,1.38,1
0.44,-7.43,5.12,0.11,0.9,1.87,1
0.92,-5.56,6.09,-0.11,0.93,2.12,1
0.97,-1.62,5.22,-0.85,1.82,1.11,1
0.7,0.3,4.29,-1.61,2.3,-0.33,1
0.93,-0.3,1.65,-2.66,4.24,-1.51,1
1.43,-4.99,-1.65,-2.24,5.06,-3.6,1
-0.65,-11.58,-2.68,-1.93,3.96,-5.38,1
3.09,-20.43,-4.77,-2.53,6.05,-5.23,1
1.2,-11.27,1.5,-0.34,1.06,0.61,1
0.9,-13.99,2.95,-0.92,2.25,1.29,1
-3.4,-17.7,1.22,-2.56,4.2,3.24,1
-8.78,-21.2,-2.04,-3.32,4.4,5.46,1
-16.13,-25,-7.28,-0.28,0.21,6.23,1
-15.97,-23.74,-12.49,1.08,-1.24,8.11,1
-14.26,-27.39,-20.42,0.95,-2.56,8.71,1
-1.57,-36.89,-14.84,-0.19,-3.94,8.71,1
17.25,-32.61,-4.73,1.12,-3.23,8.71,1
31.98,-13.86,-4.72,3.41,2.15,8.71,1
37.58,6.59,-9.34,2.21,1.89,5.82,1
41.19,5.57,-15.58,0.71,-0.01,-2.88,1
28.27,-11.04,-17.62,-6.55,1.48,-8.75,1
15.16,-54.78,-12.55,-8.76,-1.16,-8.75,1
-9.64,-45.36,1.97,-5.96,-4.99,-8.75,1
-0.88,-35.91,39.81,-3.63,-3.49,-7.36,1
-5.57,-5.89,9.77,1.68,-1.29,2.26,1
3.83,0.58,12.22,-1.13,0.77,0.55,1
-4.04,-5.08,12.49,-0.39,-0.05,-1.57,1
-4.52,-5.69,12.27,0.09,-0.15,0.23,1
-0.46,-1.26,10.25,0.02,0.64,0.36,1
-4.93,-3.32,9.7,-0.08,0.14,0.07,1
-5.2,-4.31,8.77,0.34,-0.09,0.74,1
-2.77,-6.99,4.81,0.86,-0.47,1.68,1
0.96,-6.34,1.37,0.45,0,2.58,1
3.19,-2.66,0.76,-1.08,0.87,3.15,1
5.78,1.33,1.47,-2.73,1.96,1.41,1
7.38,3.53,1.23,-3.86,3.33,-0.54,1
8.64,0.21,-1.2,-4.05,5.26,-3.7,1
8.4,-18.42,-7.11,-3.69,7.86,-6.97,1
-15.34,-22.93,-16.01,-1.46,1.22,7.01,1
-13.64,-24.56,-19.11,-0.35,-2.28,8.71,1
-14.46,-28.58,-22.32,-2.39,-2.93,8.71,1
6.35,-33.85,-11.56,-2.27,-2.73,8.71,1
15.7,-22.81,-5.13,-1.75,-1.55,8.71,1
21.86,-3.41,-6.74,0.56,2.25,8.59,1
25.64,9.34,-9.1,-1.21,1.59,2.8,1
26.64,1.31,-11.14,-2.57,1.31,-3.85,1
21.05,-11.53,-15.67,-6.14,-0.74,-8.75,1
19.64,-53.51,-17.94,-8.76,-2.2,-8.75,1
5.74,-53.91,10.61,-8.76,-7.48,-8.75,1
-30.1,-41.88,28.23,-1.27,-1.47,-5.7,1
11.56,-5.23,15.01,-0.35,2.19,4.73,1
5.88,-1.25,11.12,-0.17,-1.03,-0.78,1
-1.87,-9.16,13.81,-0.79,0.28,-1.23,1
-3.98,-8.3,11.76,0.08,0.16,-0.14,1
-0.93,-4.21,8.37,0.27,0.22,0.58,1
-1.77,-3.93,8.41,0.08,-0.24,0.04,1
-2.07,-4.44,8.4,0.1,0.05,0.25,1
-2.72,-5.2,6.66,0.18,0.29,0.59,1
-1.77,-6.7,4.5,0.25,-0.35,1.18,1
0.43,-6.08,3.33,-0.04,1.01,2.11,1
2.19,-3.18,2.45,-1.75,2.26,2.68,1
2.8,-0.99,2.73,-3.12,3.23,0.7,1
1.28,-1.02,1.17,-3.79,5,-0.98,1
1.2,-5.26,-1.45,-3.1,5.58,-2.89,1
-8.65,-19.23,-5.34,-1.52,5.52,-4.53,1
-3.1,-16.71,-6.89,0.57,5.18,-3.48,1
0.74,-20.87,-6.65,-1.2,6.75,-3.3,1
2.78,-27.96,-7.42,2,6.5,-2.92,1
2.68,-9.8,-0.3,-0.28,0.72,0.27,1
3.66,-10.32,-0.09,-0.55,1.49,0.61,1
2.74,-10.69,-0.12,-1.37,2.83,1.4,1
0.84,-12.37,-0.75,-2.34,4.05,1.86,1
-5,-17.6,-3.87,-3.32,4.25,3.22,1
-9.42,-20.52,-9.06,-2.89,3.53,4.74,1
-12.85,-19.33,-11.86,-0.81,-1.24,4.92,1
-16.38,-19.95,-16.07,0.91,-2.34,7.46,1
-12.04,-26.6,-20.72,1.67,-3.76,8.71,1
-0.02,-31.28,-14.27,-0.62,-3.34,8.71,1
12.71,-25.56,-4.52,-0.24,-1.89,8.71,1
26.11,-8.71,-5.91,3.36,1.62,8.71,1
28.48,14.42,-17.74,0.8,2.26,2.92,1
27.29,0.15,-15,-3.28,1.3,-4.42,1
17.95,-14.6,-16.21,-7.47,0.21,-8.75,1
18.93,-56.4,-17.1,-8.76,-3.1,-8.75,1
6.57,-55.23,11.59,-8.76,-8.69,-8.75,1
-18.84,-31.52,23.74,-0.86,1.29,-4.46,1
3.4,-10.17,12.68,0.25,-1.99,2.29,1
2.88,-6.03,10.48,-0.45,0.95,0.72,1
-0.6,-9.63,12.55,-0.38,-0.51,-1.63,1
-3.37,-10.18,11.25,0.05,0.01,-0.15,1
0.12,-6.49,9.45,0.25,0.38,0.83,1
-1.41,-5.8,7.57,0.03,0.08,0.28,1
-1.51,-6.64,6.76,0.61,-0.51,0.46,1
-0.58,-6.37,3.86,0.51,0.01,1.37,1
0.97,-5.23,2.42,0.02,0.55,1.6,1
1.33,-3.87,2.38,-1.03,0.7,1.59,1
3.04,-2.3,3.16,-2.27,2.13,0.77,1
2.24,-2.24,1.95,-3.3,3.26,-0.5,1
0.72,-12.4,-0.39,-2.32,3.35,1.44,1
-7.21,-18.12,-3.17,-1.9,1.93,2.02,1
-7.26,-20.42,-3.67,-1.39,1.06,3.24,1
-18.18,-24.53,-10.55,0.64,-1.15,4.08,1
-16.37,-25.65,-15.29,4.11,-4.83,6.51,1
-12.78,-33.04,-17.78,3.34,-2.16,8.71,1
1.27,-35.94,-14.32,3.4,-3.31,8.71,1
12.73,-29.67,-4.72,3.11,-1.93,8.71,1
24.31,-18.36,-4.34,5.53,1.45,8.71,1
33.02,6.99,-17.55,4.24,3.57,6.91,1
35.67,8.05,-21.21,-0.26,0.82,-1.95,1
30.21,-5.66,-17.54,-6.18,1.05,-8.75,1
18.76,-52.82,-19.76,-8.76,0.24,-8.75,1
0.72,-56.95,-1.26,-8.76,-2.99,-8.75,1
5.36,-40.78,41.65,-3.65,-3.34,-8.75,1
-11.18,-15.29,12.99,2.26,-3.6,1.26,1
6.42,-4.1,12.4,-0.18,1.24,1.97,1
3.9,-4.06,12.67,-0.51,-0.6,-1.53,1
-3.22,-9.39,13.68,-0.3,0.39,-0.88,1
-2.46,-6.8,10.33,0.41,0.3,0.6,1
0.85,-3.73,7.89,0.38,0.56,0.76,1
-2.71,-5.57,5.94,0.23,0.12,0.56,1
-1.21,-7.37,4.93,0.49,-0.04,1.26,1
0.23,-5.49,3.29,-0.08,0.41,2.19,1
1.9,-3.36,3.59,-0.78,0.32,1.62,1
2.19,-1.62,3.84,-1.93,1.03,0.62,1
2.56,0.53,2.68,-3.41,3.39,-0.81,1
1.98,-2.51,0.84,-4.07,4.95,-2.17,1
0.5,-10.77,-1.97,-2.92,5.53,-4.25,1
-3.16,-17.49,-4.32,-1.94,5.05,-4.7,1
1.57,-10.08,0.19,-0.32,0.58,0.01,1
2.07,-9.77,0.02,-0.52,1.05,0.14,1
2.7,-10.08,0.62,-1.01,1.75,0.44,1
4.24,-9.19,-0.98,-2.01,4.36,0.9,1
0.39,-10.81,-2.81,-3.45,5.41,1.52,1
-3.33,-13.49,-4.97,-3.14,5.09,2.2,1
-6.98,-16.47,-9.24,-2.66,3.53,3.23,1
-11.51,-17.43,-16.06,-2.14,-0.14,4.72,1
-11.29,-19.49,-20.19,-2.51,-2.24,6.79,1
-15.25,-21.55,-27.7,-2.08,-5.36,8.6,1
-10.59,-29.93,-22.91,-2.95,-6.36,8.71,1
8.5,-30.37,-10.92,-1.52,-5.84,8.71,1
23.14,-18.48,-2.26,1.77,-2.82,8.71,1
30.25,5.73,-9.08,3.91,1.45,7.76,1
29.07,10.9,-20.31,0.5,1.32,-0.37,1
27.41,-2.24,-22.24,-6.01,-1.77,-7.75,1
29.81,-45.28,-23.07,-8.76,-0.63,-8.75,1
10.76,-70.69,-3.89,-8.76,-5.26,-8.75,1
-10.96,-49.42,36.34,-2.31,0.13,-8.75,1
8.38,-10.61,15.21,3.41,-2.14,3.62,1
6.55,-1.03,8.85,-0.75,0.23,1.15,1
2.88,-7.15,14.09,-0.82,-0.42,-1.75,1
-4.47,-10.29,11.87,-0.14,-0.03,-0.72,1
-0.2,-7.03,7.14,0.43,0.55,1.44,1
-0.31,-7.51,3.27,0.71,-0.02,1.59,1
3.34,-5.56,2.15,0.07,1.31,2.68,1
3.77,-2.19,1.49,-1.88,2.99,2.79,1
2.79,-1,0.86,-3.11,3.73,1.48,1
4.05,0.28,-0.05,-3.71,5.16,-0.18,1
2.1,-4.72,-2.14,-2.76,5.29,-3.14,1
2.73,-9.7,-0.92,-0.26,0.62,0.34,1
2.93,-9.8,-0.92,-0.24,0.81,0.51,1
3.15,-10.19,-0.64,-0.22,1.01,0.7,1
1.66,-11.64,-0.15,-0.15,0.85,0.88,1
1.31,-14.83,1.44,-0.09,0.8,1.8,1
-1.63,-17.34,0.15,-0.52,1.47,2.7,1
-4.96,-20.8,0.48,-0.4,1.55,3.97,1
-13.09,-23.18,-1.02,1.24,-0.43,3.93,1
-18.07,-21.28,-2,3.07,-2.59,4.6,1
-28.43,-24.7,-10.32,4.66,-4.04,6.24,1
-18.47,-32.11,-12.1,6.3,-4.68,8.71,1
-0.24,-41.58,-17.83,7.47,-4.82,8.71,1
23.12,-34.87,-11.31,8.21,-1.8,8.71,1
36.23,-19.03,-17.76,8.7,2.93,8.71,1
39.5,7.35,-25.8,5.86,3.17,2.23,1
40.45,1.78,-20.63,-0.11,0.1,-7.12,1
25.27,-25.1,-19.22,-6.41,3.35,-8.75,1
17.83,-61.34,-22.1,-8.76,-2.45,-8.75,1
7.86,-61.27,3.01,-8.76,-8.69,-8.75,1
-33.97,-40.79,18.46,-0.44,0.16,-6,1
11.86,-11.39,22.25,-0.53,0.15,3.47,1
6.82,-1,11.26,0.26,-0.75,0.09,1
-0.37,-9.07,13.99,-0.86,0.32,-1.25,1
-2.58,-8.12,10.46,0.35,0.12,0.43,1
-1.37,-5.62,4.95,0.81,0.69,1.64,1
-1.41,-6.17,1.17,0.82,-0.53,1.67,1
3.07,-4.5,0.21,0.04,0.46,2.88,1
3.75,-2.6,-0.47,-1.71,1.85,2.51,1
4.7,1.44,-0.12,-2.42,1.4,0.7,1
7.52,2.71,-1.48,-4.67,4.24,-1.76,1
1.03,-13.73,0.39,-1.74,2.85,2.7,1
-4.03,-17.67,-1.83,-1.76,2.86,3.37,1
-9.5,-20.61,-3.99,-0.75,1.67,4.06,1
-14.05,-21.67,-8.77,1.8,-0.17,5.97,1
-18.26,-21.01,-12.25,1.84,-1.36,8.36,1
-10.72,-23.43,-13.18,2.52,-1.34,8.71,1
-1.89,-35.74,-9.28,1.04,-2.03,8.71,1
21.18,-22.44,-0.24,1.7,1.32,8.71,1
25.49,-8.14,-4.67,3.23,4.22,8.71,1
29.99,7.5,-12.43,3.93,1.85,3.86,1
27.47,1.67,-17.51,-1.19,0.07,-3.3,1
25.55,-10.03,-15.42,-6.27,-1.82,-8.75,1
25.16,-53.26,-19.08,-8.76,-1.53,-8.75,1
11.66,-60.07,-4.7,-8.76,-8.26,-8.75,1
7.08,-56.73,49,-4.62,0.62,-8.75,1
-3.39,-12.5,10.11,4.01,-4.84,1.85,1
5.58,-3.71,10.64,-1.26,1.86,1.66,1
-2.47,-9.69,12.97,-0.94,-0.45,-3.04,1
-2.56,-11.11,14.52,0.39,-0.02,0.38,1
0.87,-3.49,6.68,0.19,0.51,0.89,1
-2.22,-6.35,7.54,-0.29,0.21,-0.01,1
-2.65,-8.06,4.07,0.11,0.4,1.45,1
1.44,-9.78,2.72,0.75,0.36,1.38,1
3.89,-6.24,0.18,-0.23,1.98,1.12,1
3.41,0.16,-0.32,-1.12,1.55,0.62,1
5.14,5.97,-0.61,-3.43,2.1,-1.17,1
7.1,-3.19,-1.54,-4.82,3.22,-5.31,1
7.38,-17.48,-2,-4.78,3.69,-6.6,1
12.67,-36.78,-5.78,-3.97,7.84,-5.29,1
-5.6,-48.03,-7.46,-1.31,6.43,-6.38,1
2.27,-9.7,-0.4,-0.11,-0.05,-0.04,1
2.44,-9.57,-0.4,-0.07,-0.06,-0.06,1
2.13,-9.78,-0.54,-0.04,-0.04,-0.06,1
2.76,-9.81,-0.38,-0.14,0.19,-0.02,1
3.36,-9.67,-0.09,-0.33,0.42,0.19,1
4.75,-8.63,-0.33,-0.94,1.36,0.78,1
1.34,-11.28,-0.49,-2.93,3.93,1.77,1
-1.35,-13.63,-2.01,-2.87,4.14,3.05,1
-8.34,-17.3,-6.72,-3.19,3.71,3.88,1
-10.19,-20.12,-9.74,-2.46,1.12,5.28,1
-13.5,-18.32,-17.22,-2.13,-0.55,7.04,1
-14.65,-17.98,-21.64,-1.67,-4.11,8.01,1
-11.09,-20.95,-21.24,-2.62,-4.23,8.71,1
-0.95,-27.78,-13.44,-2.85,-5.66,8.71,1
12.25,-22.6,-1.99,-1.27,-4.1,8.71,1
24.55,1.44,-2.75,1.42,-0.29,7.7,1
25.54,9.65,-8.16,0.91,0.88,2.56,1
29.4,5.64,-13.4,-0.77,0.52,-2.94,1
25.72,-9.47,-16.94,-6.9,-2.24,-8.75,1
17.27,-58.17,-15.78,-8.76,0.61,-8.75,1
15.77,-56.66,13.53,-8.76,-8.69,-8.75,1
-41.6,-42.25,22.72,3.59,-3.37,-6.96,1
15.9,1.4,9.57,-1.33,3.21,5.13,1
7.75,-2.87,13.49,-0.94,-1.32,-2.59,1
-7.79,-12.89,14.68,-0.22,-0.14,-0.72,1
1.7,-4.73,9.63,0.22,0.18,0.84,1
-1.98,-6.56,8.64,-0.04,0.21,0.18,1
-1.96,-7.71,4.01,0.16,0.43,1.34,1
0.86,-9.72,1.88,0.28,0.72,1.83,1
2.92,-8.53,0.73,0.76,0.42,1.08,1
-4.23,-24.15,2.83,-0.85,1.26,4.25,1
-14.38,-27.08,-1.51,0.4,1.41,6.2,1
-18.51,-27.58,-6.71,3.19,-1.33,7.73,1
-14.72,-29.09,-14.46,4.5,-2.01,8.71,1
1.84,-32.16,-13.31,4.09,-3.29,8.71,1
16.16,-25.43,-7.05,4.24,-1.08,8.71,1
26.42,-14.47,-10.12,6.64,2.42,8.71,1
28.09,4.38,-21.16,4.47,4.48,5.28,1
26.94,3.78,-21.41,-0.94,0.91,-2.53,1
30.18,-11.69,-17.99,-5.82,-0.57,-8.48,1
29.02,-48.5,-21.11,-8.76,0.92,-8.75,1
4.2,-69.85,-14.23,-8.76,-4.15,-8.75,1
25.69,-46.37,26.85,-8.76,-1.9,-8.75,1
-15.71,-23.55,8.59,-1.59,-2.52,-3.16,1
8.94,-16.36,11.93,-0.79,-0.32,2.4,1
4.63,-13.21,5.3,-0.51,-0.31,2.14,1
3.06,-10.28,3.98,-0.41,0.07,0.98,1
1.33,-10.52,1.94,-0.74,-0.11,0.66,1
1.3,-8.4,1.86,-0.67,0.03,0.97,1
4.18,-5.77,1.99,-2.01,1.56,0.97,1
1.04,-7.13,0.76,-2.84,2.85,-0.37,1
-0.75,-9.59,-0.2,-3.01,3.17,-1.55,1
0.64,-12.71,-0.65,-3.18,4.92,-1.74,1
-1.72,-16.61,-4.04,-1.31,5.5,-1.98,1
0.59,-19.24,-4.51,0.08,4.48,-2.7,1
-1.16,-18.01,-6.45,0.85,4.4,-2.34,1
-5.23,-16.3,-6.43,1.16,0.2,-3.11,1
-3.96,-13.75,-3.08,0.37,-1.81,-1.21,1
-0.6,-12.82,-0.41,-0.51,-1.66,0.56,1
1.15,-11.6,0.7,-0.2,-1.13,1.09,1
1.09,-9.79,-0.02,-0.14,0.17,0.04,1
1.11,-9.84,0,-0.16,0.14,-0.06,1
1.05,-10.08,0.27,-0.17,0.21,-0.09,1
1.11,-10.71,0.38,-0.31,0.32,-0.04,1
0.1,-12.2,1.21,-0.55,0.66,0.36,1
-0.3,-13.78,1.72,-1.07,1.47,1.35,1
-2.9,-17.6,0.73,-2.35,3.35,2.76,1
-6.08,-18.53,-1.98,-3.14,4.1,4.12,1
-11.57,-20.71,-4.83,-1.01,0.51,4.85,1
-12.81,-19.54,-10.06,2.09,-1.27,5.8,1
-12.68,-20.35,-15.24,1.21,-0.55,8.71,1
-11.7,-28.71,-18.27,0.69,-2.09,8.71,1
4.2,-35.26,-4.61,-2.4,-4.07,8.71,1
23.14,-23.27,5.46,2.87,-1.21,8.71,1
28.38,-7.87,-3.36,5.27,2.15,8.71,1
30.49,4.53,-18.95,6.01,0.89,4.97,1
36.28,-3.02,-22.8,-2.04,-1.25,-3.62,1
31.51,-19.37,-20.04,-8.17,-1.03,-8.75,1
34.13,-69.29,-22.52,-8.76,-1.52,-8.75,1
7.33,-56.47,-3.64,-8.76,-5.87,-8.75,1
4.81,-44.4,24.52,-4.34,1.37,-8.75,1
-10.92,-18.25,7.86,-0.51,-4.53,-2.09,1
7.02,-11.99,9.88,-1.7,1.6,3.31,1
4.25,-9.3,3.37,-0.69,-0.6,1.98,1
1.59,-8.96,2.98,-1.21,-0.43,0.26,1
0.63,-11.69,3.32,-1.73,-0.63,0.31,1
1.88,-9.79,3.59,-2.1,0.45,1.23,1
1.31,-8.26,3.65,-3.81,2.56,0.51,1
-2.58,-11.78,2.5,-3.13,3.58,-0.18,1
-2.63,-14.18,1.32,-2.23,4.07,-0.68,1
-4.74,-17.56,-1.26,-2.48,3.28,2.24,1
-9.45,-22.34,-3.75,-1.42,2.43,3.61,1
-15.64,-28.89,-9.53,0.77,1,6.36,1
-15.84,-32.74,-12.92,1.67,-1.53,8.71,1
-4.23,-39.15,-14.05,1.2,-1.16,8.71,1
18.09,-32.88,-6.15,1.82,-1.63,8.71,1
28.27,-19.8,-4.65,2.61,3.64,8.71,1
28.08,4.9,-13.36,2.53,3.44,8.23,1
30.75,7.39,-16.98,-0.76,0.02,-0.35,1
31.02,-9.27,-18.98,-5.74,-1.61,-7.3,1
39.73,-43.83,-22.68,-8.76,-1.12,-8.75,1
13.35,-78.7,-20.04,-8.76,-3.4,-8.75,1
-1.07,-56.15,20.78,-6.73,1.08,-8.75,1
-8.37,-17.25,10.26,0.9,-4.12,-0.98,1
9.78,-9.55,6,-2.52,1.71,3.55,1
1.5,-13,6.79,-1.43,-1.13,0.31,1
3.22,-13.17,6.76,-0.46,-0.47,0.8,1
-1.95,-12.11,5.24,-1.4,0.76,0.59,1
1.38,-11.91,5.17,-0.46,0.2,1.27,1
-0.3,-7.83,3.49,-1.74,1.53,0.75,1
-1.76,-8.22,1.95,-1.91,2.87,0.61,1
-2.56,-9.25,1.33,-2.44,2.4,-1.04,1
-5.01,-11.39,0.8,-1.79,2.71,-1.2,1
-2.65,-11.84,0.57,-0.79,3.09,-1.42,1
-4.28,-11.02,-3.05,-0.01,4.04,-1.19,1
-2.7,-12.13,-2.24,-0.06,2.43,-1.72,1
-1.97,-12.46,-2.39,0.42,2.66,-1.62,1
-0.58,-13.25,-1.68,0.06,2.01,-1.64,1
-0.47,-14.38,-1.46,0.55,1.46,-2,1
-2.75,-13.78,-2.7,1.02,-0.1,-2.21,1
-8.56,-21.54,1.98,0.85,0.31,3.86,1
-13.99,-21.72,-2.6,3.12,-0.78,4.77,1
-15.07,-25.67,-7.2,4.86,-0.97,7.04,1
-15.56,-29.07,-13.33,4.28,-0.83,8.71,1
2.98,-30.38,-9.91,3.12,-1.75,8.71,1
17.8,-19.55,-2.3,2.63,-0.09,8.71,1
24.81,-6.71,-4.73,4.47,1,8.71,1
31.29,6.02,-11.83,4.51,1.77,4.8,1
27.01,5.25,-18.46,0.77,0.72,-2.68,1
25.42,-7.5,-16.03,-4.51,-0.69,-8.75,1
18.91,-36.52,-19.97,-8.76,-0.87,-8.75,1
15.3,-66.31,-4.75,-8.76,-6.68,-8.75,1
-1.95,-53.91,27.33,-5,0.58,-8.75,1
-11.82,-16.53,12.63,0.69,-4.24,-1.95,1
7.87,-10.7,10.69,-1.4,2.09,4.64,1
1.85,-8.17,4.46,-0.65,-0.02,2.53,1
3.79,-6.75,4.75,-1.07,-0.93,-0.02,1
0.97,-8.64,4.94,-2.33,-0.27,-0.5,1
-0.02,-10.71,4.52,-2.24,0.18,0.23,1
0.21,-8.5,3.58,-2.59,1.17,0.91,1
-0.38,-7.69,1.74,-3.06,2.16,0.72,1
-1.44,-8.92,0.71,-3.75,3.56,0.09,1
-3.23,-11.21,-0.29,-3.12,3.77,-0.68,1
-2.24,-11.43,-1.43,-0.93,4.74,-1.06,1
-1.72,-14.58,-3.48,0.97,4.62,-1,1
-0.03,-14.15,-3.38,1.37,3.58,-1.94,1
